ID,Expected,Answer,Is_True,Time(s),Reason,Sources
4326,True,True,True,20.8,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://nhadautu.vn/quang-ninh-va-hai-phong-dan-dau-tang-truong-grdp-ca-nuoc-nam-2025-d102100.html, https://hungdao.haiphong.gov.vn/tin-tuc-su-kien/quang-ninh-hai-phong-tang-truong-grdp-cao-nhat-ca-nuoc-841018, https://baoquangninh.vn/quang-ninh-tang-truong-cao-nhat-ca-nuoc-3393049.html"
4606,True,True,True,24.2,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://baochinhphu.vn/ty-phu-jensen-huang-tiet-lo-ly-do-chon-viet-nam-lam-ngoi-nha-thu-2-cua-nvidia-102241209141144356.htm, https://www.vietnet24h.vn/tam-nhin/jensen-huang-cua-nvidia-thi-truong-da-sai-lam-ve-moi-de-doa-cua-tri-tue-nhan-tao-doi-voi-cac-cong-ty-phan-mem, https://netlife.vn/jensen-huang-sai-lam-khi-noi-ai-de-doa-nganh-phan-mem-85767.html, https://www.facebook.com/groups/market.report/posts/1868369317454354/, https://vnexpress.net/trang-tieu-su-gay-sot-cua-nha-sang-lap-nvidia-4787850.html, https://cellphones.com.vn/sforum/nvidia-jensen-huang-la-ai"
5673,False,False,True,26.9,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://svhttdl.dienbien.gov.vn/portal/pages/2026-02-26/Le-hoi-Hoa-Ban--diem-nhan-van-hoa-du-lich-cua-tinh.aspx, https://vnexpress.net/di-dau-choi-gi-trong-le-hoi-hoa-ban-dien-bien-2026-5046251.html, https://baomoi.com/dien-bien-le-hoi-hoa-ban-2026-chinh-thuc-khai-mac-vao-toi-8-3-voi-nhieu-trai-nghiem-dac-sac-c54622014.epi, https://nhandan.vn/nhieu-hoat-dong-dac-sac-trong-le-hoi-hoa-ban-dien-bien-nam-2026-post941669.html, https://www.vietnamplus.vn/tai-hien-hao-khi-dien-bien-qua-nhung-hoat-dong-trai-nghiem-tai-le-hoi-hoa-ban-post1097721.vnp, https://vtv.vn/dien-bien-to-chuc-le-hoi-hoa-ban-nam-2026-som-hon-nua-thang-1002602260910486.htm"
3282,False,False,True,83.6,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://tamanhhospital.vn/men-tieu-hoa/, https://www.vinmec.com/vie/bai-viet/truong-hop-nao-khong-nen-dung-men-tieu-hoa-vi, https://nhathuoclongchau.com.vn/bai-viet/men-tieu-hoa-uong-khi-nao-trong-ngay-de-dat-hieu-qua-tot-nhat.html, https://vnexpress.net/co-nen-uong-men-tieu-hoa-moi-ngay-4800459.html, https://www.vinmec.com/vie/bai-viet/huong-dan-cach-su-dung-men-tieu-hoa-vi, https://medlatec.vn/tin-tuc/hoi-dap-men-tieu-hoa-uong-truoc-hay-sau-an"
5144,True,False,False,109.1,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://hust.edu.vn/vi/news/tin-tuc-su-kien/thu-khoa-tsa-2026-dot-1-hoc-sinh-hung-yen-lam-dung-92-cau-dat-96-10-diem-655787.html, https://cafef.vn/thu-khoa-danh-gia-tu-duy-bach-khoa-dot-1-nam-sinh-hung-yen-dat-9610-diem-188260203102352832.chn, https://vietnamnet.vn/thi-sinh-que-hung-yen-la-thu-khoa-thi-danh-gia-tu-duy-dai-hoc-bach-khoa-ha-noi-2487361.html, https://vnexpress.net/gan-17-000-thi-sinh-thi-danh-gia-tu-duy-tim-cua-dau-tien-vao-dai-hoc-5009120.html, https://nld.com.vn/thi-sinh-hung-yen-la-thu-khoa-thi-danh-gia-tu-duy-cua-dh-bach-khoa-ha-noi-196260203075317934.htm, https://daibieunhandan.vn/cong-bo-ket-qua-thi-danh-gia-tu-duy-dot-1-diem-trung-binh-la-54-01-100-10405764.html"
3810,False,False,True,112.7,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://thuonghieucongluan.com.vn/bao-hiem-pvi-vuot-moc-1-ty-usd-doanh-thu-khang-dinh-tam-voc-quoc-te-a296160.html, https://petrovietnam.petrotimes.vn/bao-hiem-pvi-lap-ky-luc-doanh-thu-nam-2024-723489.html, https://baohiemxahoi.gov.vn/tintuc/Pages/kinh-te-xa-hoi.aspx?CateID=0&ItemID=24258, https://vnexpress.net/bao-hiem-pvi-vuot-ke-hoach-thu-ho-bao-hiem-xa-hoi-5044786.html"
5824,False,False,True,24.4,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://baomoi.com/kho-tin-vung-tau-tung-mang-vo-so-ten-goi-khac-nhau-c37620432.epi, https://danviet.vn/nam-1885-la-nam-thanh-lap-thanh-pho-vung-tau-tinh-ba-ria-vung-tau-truoc-day-nay-la-phuong-vung-tau-tphcm-moi-d1404072.html, https://hanoimoi.vn/ba-ria-vung-tau-nhung-lang-ca-lau-doi-91255.html"
354,True,True,True,25.0,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://vov.vn/xa-hoi/cot-dien-giua-duong-chu-van-an-o-tp-hcm-se-di-doi-truoc-tet-post1263362.vov, https://vnexpress.net/loat-tru-dien-giua-duong-moi-mo-rong-o-noi-do-tp-hcm-5006493.html, https://www.nguoiduatin.vn/dien-luc-tphcm-noi-gi-ve-viec-cot-dien-chua-di-doi-tren-du-an-nghin-ty-chu-van-an-204260119160731077.htm, https://tuoitre.vn/duong-chu-van-an-da-rong-rai-cac-tru-dien-khi-nao-se-di-doi-20260318144228432.htm, https://vietnamnet.vn/cot-dien-an-ngu-giua-duong-duoc-mo-rong-gap-4-lan-o-noi-do-tphcm-2476751.html"
144,False,False,True,48.2,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://hanoi.gov.vn/tin-dia-phuong/xa-phu-xuyen-tiep-xuc-doi-thoai-giua-nguoi-dung-dau-cap-uy-chinh-quyen-voi-nhan-dan-4250930190529102.htm, https://binhson.ninhbinh.gov.vn/hoi-nghi-doi-thoai-giua-nguoi-dung-dau-cap-uy-chinh-quyen-voi-mat-tran-to-quoc-viet-nam-cac-to-chuc-chinh-tri-xa-hoi-va-nhan-dan-tren-dia-ban-xa, https://vnexpress.net/de-nghi-tang-doi-thoai-giua-lanh-dao-chinh-quyen-voi-nhan-dan-5015340.html"
177,False,False,True,26.5,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://vnexpress.net/10-uy-vien-bo-chinh-tri-duoc-phan-cong-tham-gia-ban-bi-thu-khoa-xiv-5011875.html, https://tapchitoaan.vn/bo-chinh-tri-phan-cong-nhan-su-tham-gia-ban-bi-thu-khoa-xiv14918.html, https://xaydungchinhsach.chinhphu.vn/bo-chinh-tri-phan-cong-uy-vien-bo-chinh-tri-khoa-xiv-tham-gia-ban-bi-thu-khoa-xiv-11926013013132197.htm, https://baochinhphu.vn/bo-chinh-tri-phan-cong-uy-vien-bo-chinh-tri-khoa-xiv-tham-gia-ban-bi-thu-khoa-xiv-102260130131551798.htm, https://tuoitre.vn/bo-chinh-tri-phan-cong-10-uy-vien-bo-chinh-tri-khoa-xiv-tham-gia-ban-bi-thu-20260130124941845.htm, https://xaydungchinhsach.chinhphu.vn/danh-sach-bo-chinh-tri-ban-chap-hanh-trung-uong-dang-khoa-xiv-119260123143829217.htm"
5890,True,True,True,16.2,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://vietnamtourism.gov.vn/en/post/15097, https://vovworld.vn/media/co-to-island-a-tourist-destination-not-to-be-missed-1964974.vov5, https://en.vietnamplus.vn/exploring-co-to-a-precious-germ-or-quang-ninh-province-post193383.vnp"
5880,True,True,True,23.5,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://tuoitre.vn/ngoai-an-nho-vao-dem-giao-thua-cac-nuoc-don-nam-moi-nhu-the-nao-20241230234915811.htm, https://baomoi.com/an-12-qua-nho-va-nhung-phong-tuc-nam-moi-doc-la-c54154550.epi, https://vnexpress.net/giai-ma-tuc-le-an-12-trai-nho-uoc-nguyen-dem-giao-thua-5000318.html, https://dantri.com.vn/van-hoa/tuc-le-cau-may-trong-dem-giao-thua-va-ngay-dau-nam-moi-20211230185219368.htm, https://tienphong.vn/an-12-qua-nho-va-nhung-phong-tuc-nam-moi-doc-la-post1809547.tpo, https://vnexpress.net/nhung-kieu-cau-may-dem-giao-thua-khap-the-gioi-4995714.html"
948,True,True,True,16.2,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,https://vnexpress.net/thay-doi-chien-thuat-dot-kich-bo-binh-cua-nga-sau-4-nam-xung-dot-5043468.html
451,True,True,True,18.1,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://vnexpress.net/chot-muc-phi-duong-bo-voi-5-du-an-cao-toc-bac-nam-5044306.html, https://www.sggp.org.vn/xu-phat-tai-xe-xe-ben-bam-lan-trai-tren-cao-toc-phan-thiet-dau-giay-post843524.html, https://laodong.vn/giao-thong/muc-thu-phi-oto-di-cao-toc-tu-tphcm-den-het-lam-dong-1661604.ldo, https://nguoiquansat.vn/chinh-thuc-thu-phi-5-tuyen-cao-toc-bac-nam-mo-ra-giai-doan-moi-trong-van-hanh-ha-tang-giao-thong-quoc-gia-276766.html, https://dantri.com.vn/thoi-su/cong-bo-muc-phi-tren-3-tuyen-cao-toc-tu-tphcm-den-lam-dong-20260228120227972.htm"
4303,True,True,True,20.0,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://vnexpress.net/pho-thu-tuong-yeu-cau-tang-muc-phat-voi-buon-lau-hang-gia-5005985.html, https://baochinhphu.vn/tang-muc-phat-doi-voi-buon-lau-gian-lan-thuong-mai-va-hang-gia-nham-bao-dam-tinh-ran-de-10226011414495837.htm, https://tuoitre.vn/pho-thu-tuong-chi-dao-ngan-buon-lau-xu-nghiem-vi-pham-ve-gia-trong-kinh-doanh-xang-dau-20260319165106845.htm"
1679,True,True,True,29.6,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://bongda24h.vn/bong-da-the-gioi/inter-miami-hoan-tran-giao-huu-vi-messi-chan-thuong-544-443270.html, https://tuoitre.vn/inter-miami-phai-huy-giao-huu-vi-messi-20260213122948098.htm, https://vnexpress.net/tran-dau-bi-lui-vi-messi-5040236.html, https://thethao247.vn/395-nguoi-dan-ong-coi-tran-om-ap-messi-ngay-tren-san-d411209.html, https://thethao.sggp.org.vn/inter-miami-hoan-da-giao-huu-vi-messi-chan-thuong-post838401.html"
3665,False,False,True,34.8,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://cafef.vn/dung-lo-ai-lam-ky-su-cntt-that-nghiep-cac-ong-lon-cong-nghe-the-gioi-dang-noi-nguoc-lai-18826032808284204.chn, https://vietnamnet.vn/dung-lo-ai-lam-ky-su-cntt-that-nghiep-cac-ong-lon-cong-nghe-noi-nguoc-lai-2500738.html, https://baomoi.com/ai-se-khai-tu-hon-50-phan-mem-doanh-nghiep-c54513206.epi"
3348,False,False,True,26.3,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://nld.com.vn/nghien-cuu-harvard-chi-ra-su-than-ky-cua-tach-ca-phe-sang-196260312103041406.htm, https://kenh14.vn/nghien-cuu-harvard-theo-doi-131821-nguoi-uong-ca-phe-tra-moi-ngay-co-the-giam-nguy-co-sa-sut-tri-tue-nhung-dung-vuot-qua-muc-nay-215261803154327744.chn, https://plo.vn/truong-y-harvard-vua-phat-hien-ra-viec-uong-ca-phe-moi-ngay-se-giup-giam-dieu-nay-post901779.html"
119,True,True,True,21.6,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://xaydungchinhsach.chinhphu.vn/chi-tiet-danh-sach-864-nguoi-ung-cu-dai-bieu-quoc-hoi-khoa-xvi-119260215122125389.htm, https://www.qdnd.vn/chinh-tri/tin-tuc/danh-sach-500-dai-bieu-quoc-hoi-khoa-xvi-nhiem-ky-2026-2031-1033573, https://vov.vn/chinh-tri/danh-sach-500-nguoi-trung-cu-dai-bieu-quoc-hoi-khoa-xvi-post1277543.vov, https://quochoi.vn/tintuc/pages/tin-hoat-dong-cua-quoc-hoi.aspx?ItemID=98374, https://plo.vn/ti-le-dai-bieu-quoc-hoi-chuyen-trach-cao-nhat-tu-truoc-den-nay-post902794.html, https://baochinhphu.vn/danh-sach-chinh-thuc-nhung-nguoi-ung-cu-dai-bieu-quoc-hoi-khoa-xvi-102260215094411181.htm"
3058,True,False,False,117.3,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://tuoitre.vn/benh-gout-co-nguy-co-bung-phat-dip-tet-vi-sao-20260123110025166.htm, https://medlatec.vn/tin-tuc/nang-coc-la-can-chen--dung-de-con-dau-gut-tai-phat-khien-ngay-tet-mat-vui---s195-n31853, https://suckhoedoisong.vn/uong-nhieu-ruou-bia-ngay-tet-lam-sao-de-ha-axit-uric-169260210221958613.htm, https://yte.neu.edu.vn/vi/thong-tin-y-hoc/an-uong-ngay-tet-sai-cach-gout-co-the-tan-cong-bat-ngo, https://laodong.vn/suc-khoe/axit-uric-tang-vu-vu-vi-an-uong-ngay-tet-sai-cach-1658431.ldo"
3357,True,True,True,17.2,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://laodong.vn/moi-truong/mien-bac-ret-dam-den-bao-gio-du-bao-dien-bien-khong-khi-lanh-1645195.ldo, https://baobacninhtv.vn/mien-bac-dang-trai-qua-dot-ret-dam-hiem-gap-postid393529.bbg, https://cafef.vn/mien-bac-dang-trai-qua-dot-ret-dam-nhat-nam-nay-da-co-noi-02-do-c-bao-gio-troi-chuyen-am-188260123090123557.chn"
1224,True,False,False,32.6,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://baomoi.com/trung-quoc-khoi-phuc-tuyen-tau-khach-toi-trieu-tien-sau-6-nam-gian-doan-c54670263.epi, https://vov.vn/the-gioi/tau-khach-quoc-te-trung-quoc-trieu-tien-hoat-dong-tro-lai-sau-6-nam-post1274725.vov, https://laodong.vn/the-gioi/tau-khach-trung-quoc-lan-banh-vao-trieu-tien-sau-6-nam-gian-doan-1667976.ldo, https://dantri.com.vn/the-gioi/trung-quoc-trieu-tien-noi-lai-dich-vu-duong-sat-sau-6-nam-gian-doan-20260313110125234.htm, https://hanoimoi.vn/chuyen-tau-lien-van-binh-nhuong-bac-kinh-toi-dich-sau-6-nam-bi-gian-doan-737941.html, https://baoquocte.vn/trieu-tien-va-trung-quoc-noi-lai-van-tai-hanh-khach-duong-sat-sau-6-nam-gian-doan-369613.html"
4579,False,False,True,25.4,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://thanhnien.vn/tphcm-sap-khoi-cong-trung-tam-du-lieu-ai-hon-2-ti-usd-185260311112841319.htm, https://dost.hochiminhcity.gov.vn/hoat-dong-so-khcn/tphcm-thuc-day-ha-tang-ai-voi-du-an-trung-tam-du-lieu-21-ty-usd/, https://dantri.com.vn/cong-nghe/tphcm-thuc-day-ha-tang-ai-voi-du-an-trung-tam-du-lieu-21-ty-usd-20260311172753627.htm, https://vnexpress.net/tp-hcm-khoi-cong-trung-tam-du-lieu-ai-hon-2-ty-usd-dip-30-4-5049124.html, https://cafebiz.vn/tphcm-sap-co-trung-tam-ai-hon-2-ty-usd-17626032608235091.chn"
120,True,False,False,19.7,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/chinh-sach-moi/101199/chot-toan-bo-vien-chuc-xep-luong-theo-vi-tri-viec-lam-cham-nhat-1-7-2027, https://nhandan.vn/cham-nhat-den-172027-hoan-thanh-bo-tri-vi-tri-viec-lam-va-xep-luong-tuong-ung-cho-vien-chuc-post943028.html, https://xaydungchinhsach.chinhphu.vn/cham-nhat-den-1-7-phai-hoan-thanh-bo-tri-xep-luong-tuong-ung-voi-vi-tri-viec-lam-doi-voi-vien-chuc-119260219101939155.htm, https://vnexpress.net/vien-chuc-duoc-xep-luong-theo-vi-tri-viec-lam-truoc-1-7-5041377.html, https://tienphong.vn/chot-han-xep-luong-vien-chuc-theo-vi-tri-viec-lam-post1820969.tpo"
4238,True,False,False,34.1,Bản tin có ít nhất một mệnh đề sai hoặc không đủ c...,"https://tuoitre.vn/thu-tuong-yeu-cau-xu-ly-dut-diem-du-an-ton-dong-thuc-tang-truong-quy-i-20260215162406423.htm, https://vnexpress.net/thu-tuong-can-xu-ly-dut-diem-du-an-ton-dong-trong-quy-i-5041580.html, https://dantri.com.vn/kinh-doanh/thu-tuong-yeu-cau-xu-ly-dut-diem-hang-nghin-du-an-ton-dong-ngay-trong-quy-i-20260216091722405.htm"
5402,True,True,True,21.5,Các mệnh đề kiểm chứng đều đúng theo bằng chứng xá...,"https://vnexpress.net/park-shin-hye-o-nha-ban-ham-nuoi-giac-mo-dien-xuat-5009046.html, https://www.24h.com.vn/giai-tri/park-shin-hye-o-nha-ban-ham-nuoi-giac-mo-dien-xuat-c731a1732025.html, https://muctim.tuoitre.vn/park-shin-hye-nghen-ngao-tiet-lo-cha-me-hi-sinh-cho-su-nghiep-cua-co-101260122092709745.htm, https://kenh14.vn/park-shin-hye-thoi-chua-noi-voi-nac-thang-len-thien-duong-muon-lam-canh-sat-vi-nha-bi-cuop-gia-dinh-bo-xu-len-seoul-lap-nghiep-20200309190249752.chn, https://laodong.vn/van-hoa-giai-tri/park-shin-hye-song-kho-khan-truoc-khi-lam-dien-vien-1645939.ldo"
